Explored_history,Best_history,Start_time,End_time,Break_start,Break_end,Staff_number
1667.0,1716.0,0.0,4.0,13.0,13.0,16.0
1716.0,1665.0,1.0,5.0,13.0,13.0,7.0
1665.0,1605.0,2.0,6.0,13.0,13.0,0.0
1576.0,1552.0,3.0,7.0,13.0,13.0,1.0
1605.0,1535.0,4.0,8.0,13.0,13.0,1.0
1552.0,1495.0,5.0,9.0,13.0,13.0,11.0
1460.0,1448.0,6.0,10.0,13.0,13.0,7.0
1535.0,1441.0,7.0,11.0,13.0,13.0,7.0
1495.0,1415.0,8.0,12.0,13.0,13.0,9.0
1438.0,1348.0,0.0,6.0,2.0,3.0,2.0
1380.0,1324.0,1.0,7.0,3.0,4.0,8.0
1429.0,1290.0,2.0,8.0,4.0,5.0,7.0
1448.0,1230.0,3.0,9.0,5.0,6.0,2.0
1441.0,1213.0,4.0,10.0,6.0,7.0,1.0
1415.0,1201.0,5.0,11.0,7.0,8.0,3.0
1351.0,1138.0,6.0,12.0,8.0,9.0,8.0
1337.0,1108.0,0.0,6.0,3.0,4.0,4.0
1348.0,1082.0,1.0,7.0,4.0,5.0,0.0
1228.0,1097.0,2.0,8.0,5.0,6.0,0.0
1262.0,1056.0,3.0,9.0,6.0,7.0,3.0
1324.0,1050.0,4.0,10.0,7.0,8.0,7.0
1301.0,1055.0,5.0,11.0,8.0,9.0,1.0
1257.0,1045.0,6.0,12.0,9.0,10.0,10.0
1277.0,1037.0,0.0,6.0,4.0,5.0,1.0
1308.0,992.0,1.0,7.0,5.0,6.0,0.0
1259.0,992.0,2.0,8.0,6.0,7.0,3.0
1282.0,988.0,3.0,9.0,7.0,8.0,0.0
1251.0,983.0,4.0,10.0,8.0,9.0,4.0
1267.0,,5.0,11.0,9.0,10.0,1.0
1291.0,,6.0,12.0,10.0,11.0,6.0
1255.0,,0.0,8.0,3.0,4.0,1.0
1248.0,,1.0,9.0,4.0,5.0,0.0
1280.0,,2.0,10.0,5.0,6.0,7.0
1294.0,,3.0,11.0,6.0,7.0,0.0
1251.0,,4.0,12.0,7.0,8.0,8.0
1235.0,,0.0,8.0,4.0,5.0,0.0
1272.0,,1.0,9.0,5.0,6.0,3.0
1290.0,,2.0,10.0,6.0,7.0,8.0
1167.0,,3.0,11.0,7.0,8.0,1.0
1230.0,,4.0,12.0,8.0,9.0,13.0
1122.0,,0.0,8.0,5.0,6.0,11.0
1223.0,,1.0,9.0,6.0,7.0,4.0
1208.0,,2.0,10.0,7.0,8.0,0.0
1165.0,,3.0,11.0,8.0,9.0,0.0
1194.0,,4.0,12.0,9.0,10.0,0.0
1165.0,,,,,,
1189.0,,,,,,
1141.0,,,,,,
1191.0,,,,,,
1203.0,,,,,,
1207.0,,,,,,
1192.0,,,,,,
1191.0,,,,,,
1213.0,,,,,,
1201.0,,,,,,
1119.0,,,,,,
1138.0,,,,,,
1108.0,,,,,,
1082.0,,,,,,
1082.0,,,,,,
1019.0,,,,,,
1019.0,,,,,,
1041.0,,,,,,
1019.0,,,,,,
1071.0,,,,,,
1052.0,,,,,,
1016.0,,,,,,
994.0,,,,,,
1059.0,,,,,,
1055.0,,,,,,
1036.0,,,,,,
1020.0,,,,,,
1021.0,,,,,,
1040.0,,,,,,
1037.0,,,,,,
1038.0,,,,,,
1018.0,,,,,,
1060.0,,,,,,
1019.0,,,,,,
1003.0,,,,,,
1018.0,,,,,,
1046.0,,,,,,
1020.0,,,,,,
1055.0,,,,,,
1047.0,,,,,,
1068.0,,,,,,
1061.0,,,,,,
1021.0,,,,,,
1097.0,,,,,,
1039.0,,,,,,
994.0,,,,,,
1089.0,,,,,,
1048.0,,,,,,
1074.0,,,,,,
1013.0,,,,,,
1082.0,,,,,,
1047.0,,,,,,
1056.0,,,,,,
1015.0,,,,,,
1004.0,,,,,,
984.0,,,,,,
1050.0,,,,,,
1007.0,,,,,,
1019.0,,,,,,
1054.0,,,,,,
1024.0,,,,,,
1024.0,,,,,,
1007.0,,,,,,
1049.0,,,,,,
1010.0,,,,,,
1055.0,,,,,,
1045.0,,,,,,
1054.0,,,,,,
1020.0,,,,,,
998.0,,,,,,
996.0,,,,,,
1056.0,,,,,,
1023.0,,,,,,
1015.0,,,,,,
1009.0,,,,,,
982.0,,,,,,
1073.0,,,,,,
1021.0,,,,,,
980.0,,,,,,
986.0,,,,,,
976.0,,,,,,
1023.0,,,,,,
1050.0,,,,,,
973.0,,,,,,
1003.0,,,,,,
970.0,,,,,,
1037.0,,,,,,
984.0,,,,,,
