Explored_history,Best_history,Start_time,End_time,Break_start,Break_end,Staff_number
1903.0,1903.0,0.0,4.0,13.0,13.0,26.0
1940.0,1882.0,1.0,5.0,13.0,13.0,13.0
1951.0,1848.0,2.0,6.0,13.0,13.0,0.0
2008.0,1814.0,3.0,7.0,13.0,13.0,0.0
1969.0,1802.0,4.0,8.0,13.0,13.0,0.0
1951.0,1790.0,5.0,9.0,13.0,13.0,0.0
1882.0,1773.0,6.0,10.0,13.0,13.0,0.0
1894.0,1718.0,7.0,11.0,13.0,13.0,24.0
1917.0,1717.0,8.0,12.0,13.0,13.0,0.0
1929.0,1716.0,0.0,6.0,2.0,3.0,0.0
1905.0,1664.0,1.0,7.0,3.0,4.0,0.0
1848.0,1575.0,2.0,8.0,4.0,5.0,0.0
1901.0,1573.0,3.0,9.0,5.0,6.0,0.0
1949.0,1522.0,4.0,10.0,6.0,7.0,0.0
1858.0,1440.0,5.0,11.0,7.0,8.0,6.0
1814.0,1380.0,6.0,12.0,8.0,9.0,2.0
1894.0,1376.0,0.0,6.0,3.0,4.0,14.0
1802.0,1176.0,1.0,7.0,4.0,5.0,0.0
1790.0,1012.0,2.0,8.0,5.0,6.0,0.0
1773.0,998.0,3.0,9.0,6.0,7.0,0.0
1858.0,888.0,4.0,10.0,7.0,8.0,0.0
1784.0,869.0,5.0,11.0,8.0,9.0,0.0
1792.0,,6.0,12.0,9.0,10.0,29.0
1718.0,,0.0,6.0,4.0,5.0,19.0
1834.0,,1.0,7.0,5.0,6.0,0.0
1739.0,,2.0,8.0,6.0,7.0,0.0
1785.0,,3.0,9.0,7.0,8.0,0.0
1753.0,,4.0,10.0,8.0,9.0,0.0
1778.0,,5.0,11.0,9.0,10.0,0.0
1717.0,,6.0,12.0,10.0,11.0,3.0
1782.0,,0.0,8.0,3.0,4.0,0.0
1724.0,,1.0,9.0,4.0,5.0,0.0
1748.0,,2.0,10.0,5.0,6.0,0.0
1729.0,,3.0,11.0,6.0,7.0,7.0
1767.0,,4.0,12.0,7.0,8.0,25.0
1716.0,,0.0,8.0,4.0,5.0,0.0
1765.0,,1.0,9.0,5.0,6.0,0.0
1664.0,,2.0,10.0,6.0,7.0,0.0
1575.0,,3.0,11.0,7.0,8.0,0.0
1410.0,,4.0,12.0,8.0,9.0,4.0
1687.0,,0.0,8.0,5.0,6.0,0.0
1573.0,,1.0,9.0,6.0,7.0,0.0
1564.0,,2.0,10.0,7.0,8.0,0.0
1710.0,,3.0,11.0,8.0,9.0,0.0
1641.0,,4.0,12.0,9.0,10.0,0.0
1522.0,,,,,,
1471.0,,,,,,
1597.0,,,,,,
1440.0,,,,,,
1593.0,,,,,,
1692.0,,,,,,
1692.0,,,,,,
1516.0,,,,,,
1538.0,,,,,,
1514.0,,,,,,
1464.0,,,,,,
1380.0,,,,,,
1600.0,,,,,,
1376.0,,,,,,
1399.0,,,,,,
1176.0,,,,,,
1267.0,,,,,,
1212.0,,,,,,
1327.0,,,,,,
1293.0,,,,,,
1068.0,,,,,,
995.0,,,,,,
1359.0,,,,,,
1024.0,,,,,,
1038.0,,,,,,
1198.0,,,,,,
1093.0,,,,,,
1512.0,,,,,,
1092.0,,,,,,
973.0,,,,,,
1105.0,,,,,,
1077.0,,,,,,
1012.0,,,,,,
967.0,,,,,,
1062.0,,,,,,
1076.0,,,,,,
914.0,,,,,,
1026.0,,,,,,
1342.0,,,,,,
1106.0,,,,,,
1138.0,,,,,,
1164.0,,,,,,
978.0,,,,,,
1279.0,,,,,,
1287.0,,,,,,
1019.0,,,,,,
1022.0,,,,,,
1034.0,,,,,,
1000.0,,,,,,
1212.0,,,,,,
1044.0,,,,,,
980.0,,,,,,
998.0,,,,,,
900.0,,,,,,
942.0,,,,,,
916.0,,,,,,
939.0,,,,,,
1011.0,,,,,,
818.0,,,,,,
989.0,,,,,,
1113.0,,,,,,
1007.0,,,,,,
900.0,,,,,,
1067.0,,,,,,
985.0,,,,,,
957.0,,,,,,
1181.0,,,,,,
987.0,,,,,,
1049.0,,,,,,
975.0,,,,,,
857.0,,,,,,
1241.0,,,,,,
580.0,,,,,,
1029.0,,,,,,
958.0,,,,,,
929.0,,,,,,
942.0,,,,,,
675.0,,,,,,
1015.0,,,,,,
989.0,,,,,,
787.0,,,,,,
816.0,,,,,,
705.0,,,,,,
1280.0,,,,,,
669.0,,,,,,
770.0,,,,,,
1029.0,,,,,,
785.0,,,,,,
713.0,,,,,,
704.0,,,,,,
1247.0,,,,,,
859.0,,,,,,
901.0,,,,,,
768.0,,,,,,
858.0,,,,,,
867.0,,,,,,
808.0,,,,,,
1104.0,,,,,,
613.0,,,,,,
901.0,,,,,,
739.0,,,,,,
752.0,,,,,,
1081.0,,,,,,
901.0,,,,,,
888.0,,,,,,
852.0,,,,,,
887.0,,,,,,
723.0,,,,,,
954.0,,,,,,
961.0,,,,,,
687.0,,,,,,
755.0,,,,,,
819.0,,,,,,
788.0,,,,,,
920.0,,,,,,
669.0,,,,,,
735.0,,,,,,
869.0,,,,,,
718.0,,,,,,
931.0,,,,,,
1016.0,,,,,,
836.0,,,,,,
