Planning_period,Start_time,End_time,Break_start,Break_end
0.25,0,4,13,13
0.25,0.25,4.25,13,13
0.25,0.5,4.5,13,13
0.25,0.75,4.75,13,13
0.25,1,5,13,13
0.25,1.25,5.25,13,13
0.25,1.5,5.5,13,13
0.25,1.75,5.75,13,13
0.25,2,6,13,13
0.25,2.25,6.25,13,13
0.25,2.5,6.5,13,13
0.25,2.75,6.75,13,13
0.25,3,7,13,13
0.25,3.25,7.25,13,13
0.25,3.5,7.5,13,13
0.25,3.75,7.75,13,13
0.25,4,8,13,13
0.25,4.25,8.25,13,13
0.25,4.5,8.5,13,13
0.25,4.75,8.75,13,13
0.25,5,9,13,13
0.25,5.25,9.25,13,13
0.25,5.5,9.5,13,13
0.25,5.75,9.75,13,13
0.25,6,10,13,13
0.25,6.25,10.25,13,13
0.25,6.5,10.5,13,13
0.25,6.75,10.75,13,13
0.25,7,11,13,13
0.25,7.25,11.25,13,13
0.25,7.5,11.5,13,13
0.25,7.75,11.75,13,13
0.25,8,12,13,13
0.25,0,6,2.25,2.75
0.25,0.25,6.25,2.5,3
0.25,0.5,6.5,2.75,3.25
0.25,0.75,6.75,3,3.5
0.25,1,7,3.25,3.75
0.25,1.25,7.25,3.5,4
0.25,1.5,7.5,3.75,4.25
0.25,1.75,7.75,4,4.5
0.25,2,8,4.25,4.75
0.25,2.25,8.25,4.5,5
0.25,2.5,8.5,4.75,5.25
0.25,2.75,8.75,5,5.5
0.25,3,9,5.25,5.75
0.25,3.25,9.25,5.5,6
0.25,3.5,9.5,5.75,6.25
0.25,3.75,9.75,6,6.5
0.25,4,10,6.25,6.75
0.25,4.25,10.25,6.5,7
0.25,4.5,10.5,6.75,7.25
0.25,4.75,10.75,7,7.5
0.25,5,11,7.25,7.75
0.25,5.25,11.25,7.5,8
0.25,5.5,11.5,7.75,8.25
0.25,5.75,11.75,8,8.5
0.25,6,12,8.25,8.75
0.25,0,6,2.5,3
0.25,0.25,6.25,2.75,3.25
0.25,0.5,6.5,3,3.5
0.25,0.75,6.75,3.25,3.75
0.25,1,7,3.5,4
0.25,1.25,7.25,3.75,4.25
0.25,1.5,7.5,4,4.5
0.25,1.75,7.75,4.25,4.75
0.25,2,8,4.5,5
0.25,2.25,8.25,4.75,5.25
0.25,2.5,8.5,5,5.5
0.25,2.75,8.75,5.25,5.75
0.25,3,9,5.5,6
0.25,3.25,9.25,5.75,6.25
0.25,3.5,9.5,6,6.5
0.25,3.75,9.75,6.25,6.75
0.25,4,10,6.5,7
0.25,4.25,10.25,6.75,7.25
0.25,4.5,10.5,7,7.5
0.25,4.75,10.75,7.25,7.75
0.25,5,11,7.5,8
0.25,5.25,11.25,7.75,8.25
0.25,5.5,11.5,8,8.5
0.25,5.75,11.75,8.25,8.75
0.25,6,12,8.5,9
0.25,0,6,2.75,3.25
0.25,0.25,6.25,3,3.5
0.25,0.5,6.5,3.25,3.75
0.25,0.75,6.75,3.5,4
0.25,1,7,3.75,4.25
0.25,1.25,7.25,4,4.5
0.25,1.5,7.5,4.25,4.75
0.25,1.75,7.75,4.5,5
0.25,2,8,4.75,5.25
0.25,2.25,8.25,5,5.5
0.25,2.5,8.5,5.25,5.75
0.25,2.75,8.75,5.5,6
0.25,3,9,5.75,6.25
0.25,3.25,9.25,6,6.5
0.25,3.5,9.5,6.25,6.75
0.25,3.75,9.75,6.5,7
0.25,4,10,6.75,7.25
0.25,4.25,10.25,7,7.5
0.25,4.5,10.5,7.25,7.75
0.25,4.75,10.75,7.5,8
0.25,5,11,7.75,8.25
0.25,5.25,11.25,8,8.5
0.25,5.5,11.5,8.25,8.75
0.25,5.75,11.75,8.5,9
0.25,6,12,8.75,9.25
