Day,Good_periods,Cost,Answered_calls,Dropped_calls,Total_good_periods,Total_cost,Total_answered_calls,Total_dropped_calls
1.0,70.0,421.0,5453.0,42.0,2150.0,12204.0,140043.0,1460.0
2.0,72.0,411.0,5092.0,10.0,2150.0,12204.0,140043.0,1460.0
3.0,72.0,412.0,6136.0,51.0,2150.0,12204.0,140043.0,1460.0
4.0,69.0,352.0,5817.0,324.0,2150.0,12204.0,140043.0,1460.0
5.0,70.0,468.0,5642.0,19.0,2150.0,12204.0,140043.0,1460.0
6.0,69.0,402.0,7439.0,384.0,2150.0,12204.0,140043.0,1460.0
7.0,72.0,417.0,5779.0,131.0,2150.0,12204.0,140043.0,1460.0
8.0,72.0,397.0,4755.0,13.0,2150.0,12204.0,140043.0,1460.0
9.0,72.0,399.0,4098.0,8.0,2150.0,12204.0,140043.0,1460.0
10.0,72.0,382.0,4981.0,106.0,2150.0,12204.0,140043.0,1460.0
11.0,72.0,390.0,4906.0,62.0,2150.0,12204.0,140043.0,1460.0
12.0,72.0,418.0,4460.0,50.0,2150.0,12204.0,140043.0,1460.0
13.0,72.0,421.0,4458.0,0.0,2150.0,12204.0,140043.0,1460.0
14.0,72.0,411.0,3948.0,12.0,2150.0,12204.0,140043.0,1460.0
15.0,72.0,412.0,4154.0,0.0,2150.0,12204.0,140043.0,1460.0
16.0,72.0,352.0,3903.0,6.0,2150.0,12204.0,140043.0,1460.0
17.0,72.0,468.0,4609.0,17.0,2150.0,12204.0,140043.0,1460.0
18.0,72.0,402.0,4045.0,58.0,2150.0,12204.0,140043.0,1460.0
19.0,72.0,417.0,4232.0,5.0,2150.0,12204.0,140043.0,1460.0
20.0,72.0,397.0,4315.0,2.0,2150.0,12204.0,140043.0,1460.0
21.0,72.0,399.0,4471.0,4.0,2150.0,12204.0,140043.0,1460.0
22.0,72.0,382.0,3845.0,5.0,2150.0,12204.0,140043.0,1460.0
23.0,72.0,390.0,3660.0,7.0,2150.0,12204.0,140043.0,1460.0
24.0,72.0,418.0,3971.0,0.0,2150.0,12204.0,140043.0,1460.0
25.0,72.0,421.0,4596.0,8.0,2150.0,12204.0,140043.0,1460.0
26.0,72.0,411.0,4218.0,1.0,2150.0,12204.0,140043.0,1460.0
27.0,72.0,412.0,4402.0,3.0,2150.0,12204.0,140043.0,1460.0
28.0,72.0,352.0,4296.0,83.0,2150.0,12204.0,140043.0,1460.0
29.0,72.0,468.0,4373.0,6.0,2150.0,12204.0,140043.0,1460.0
30.0,72.0,402.0,3989.0,43.0,2150.0,12204.0,140043.0,1460.0
