Day,Good_periods,Cost,Answered_calls,Dropped_calls,Total_good_periods,Total_cost,Total_answered_calls,Total_dropped_calls
1.0,72.0,452.0,5495.0,0.0,2160.0,12173.0,140644.0,859.0
2.0,72.0,416.0,5102.0,0.0,2160.0,12173.0,140644.0,859.0
3.0,72.0,348.0,6187.0,0.0,2160.0,12173.0,140644.0,859.0
4.0,72.0,292.0,6141.0,0.0,2160.0,12173.0,140644.0,859.0
5.0,72.0,404.0,5661.0,0.0,2160.0,12173.0,140644.0,859.0
6.0,72.0,376.0,6964.0,859.0,2160.0,12173.0,140644.0,859.0
7.0,72.0,420.0,5910.0,0.0,2160.0,12173.0,140644.0,859.0
8.0,72.0,352.0,4768.0,0.0,2160.0,12173.0,140644.0,859.0
9.0,72.0,344.0,4106.0,0.0,2160.0,12173.0,140644.0,859.0
10.0,72.0,356.0,5087.0,0.0,2160.0,12173.0,140644.0,859.0
11.0,72.0,400.0,4968.0,0.0,2160.0,12173.0,140644.0,859.0
12.0,72.0,416.0,4510.0,0.0,2160.0,12173.0,140644.0,859.0
13.0,72.0,464.0,4458.0,0.0,2160.0,12173.0,140644.0,859.0
14.0,72.0,412.0,3960.0,0.0,2160.0,12173.0,140644.0,859.0
15.0,72.0,348.0,4154.0,0.0,2160.0,12173.0,140644.0,859.0
16.0,72.0,408.0,3909.0,0.0,2160.0,12173.0,140644.0,859.0
17.0,72.0,445.0,4626.0,0.0,2160.0,12173.0,140644.0,859.0
18.0,72.0,432.0,4103.0,0.0,2160.0,12173.0,140644.0,859.0
19.0,72.0,457.0,4237.0,0.0,2160.0,12173.0,140644.0,859.0
20.0,72.0,437.0,4317.0,0.0,2160.0,12173.0,140644.0,859.0
21.0,72.0,463.0,4475.0,0.0,2160.0,12173.0,140644.0,859.0
22.0,72.0,454.0,3850.0,0.0,2160.0,12173.0,140644.0,859.0
23.0,72.0,433.0,3667.0,0.0,2160.0,12173.0,140644.0,859.0
24.0,72.0,434.0,3971.0,0.0,2160.0,12173.0,140644.0,859.0
25.0,72.0,434.0,4604.0,0.0,2160.0,12173.0,140644.0,859.0
26.0,72.0,382.0,4219.0,0.0,2160.0,12173.0,140644.0,859.0
27.0,72.0,355.0,4405.0,0.0,2160.0,12173.0,140644.0,859.0
28.0,72.0,433.0,4379.0,0.0,2160.0,12173.0,140644.0,859.0
29.0,72.0,351.0,4379.0,0.0,2160.0,12173.0,140644.0,859.0
30.0,72.0,455.0,4032.0,0.0,2160.0,12173.0,140644.0,859.0
