Day,Good_periods,Cost,Answered_calls,Dropped_calls,Total_good_periods,Total_cost,Total_answered_calls,Total_dropped_calls
1.0,68.0,452.0,5456.0,39.0,1844.0,12173.0,137322.0,4181.0
2.0,70.0,416.0,5062.0,40.0,1844.0,12173.0,137322.0,4181.0
3.0,60.0,348.0,5686.0,501.0,1844.0,12173.0,137322.0,4181.0
4.0,51.0,292.0,5337.0,804.0,1844.0,12173.0,137322.0,4181.0
5.0,52.0,404.0,5513.0,148.0,1844.0,12173.0,137322.0,4181.0
6.0,50.0,376.0,6837.0,986.0,1844.0,12173.0,137322.0,4181.0
7.0,49.0,420.0,5707.0,203.0,1844.0,12173.0,137322.0,4181.0
8.0,49.0,352.0,4612.0,156.0,1844.0,12173.0,137322.0,4181.0
9.0,50.0,344.0,4036.0,70.0,1844.0,12173.0,137322.0,4181.0
10.0,53.0,356.0,4933.0,154.0,1844.0,12173.0,137322.0,4181.0
11.0,55.0,400.0,4889.0,79.0,1844.0,12173.0,137322.0,4181.0
12.0,55.0,416.0,4461.0,49.0,1844.0,12173.0,137322.0,4181.0
13.0,58.0,464.0,4451.0,7.0,1844.0,12173.0,137322.0,4181.0
14.0,59.0,412.0,3933.0,27.0,1844.0,12173.0,137322.0,4181.0
15.0,59.0,348.0,4080.0,74.0,1844.0,12173.0,137322.0,4181.0
16.0,62.0,408.0,3902.0,7.0,1844.0,12173.0,137322.0,4181.0
17.0,61.0,445.0,4502.0,124.0,1844.0,12173.0,137322.0,4181.0
18.0,62.0,432.0,4061.0,42.0,1844.0,12173.0,137322.0,4181.0
19.0,63.0,457.0,4233.0,4.0,1844.0,12173.0,137322.0,4181.0
20.0,64.0,437.0,4311.0,6.0,1844.0,12173.0,137322.0,4181.0
21.0,67.0,463.0,4462.0,13.0,1844.0,12173.0,137322.0,4181.0
22.0,69.0,454.0,3843.0,7.0,1844.0,12173.0,137322.0,4181.0
23.0,69.0,433.0,3667.0,0.0,1844.0,12173.0,137322.0,4181.0
24.0,70.0,434.0,3923.0,48.0,1844.0,12173.0,137322.0,4181.0
25.0,69.0,434.0,4499.0,105.0,1844.0,12173.0,137322.0,4181.0
26.0,70.0,382.0,4204.0,15.0,1844.0,12173.0,137322.0,4181.0
27.0,70.0,355.0,4290.0,115.0,1844.0,12173.0,137322.0,4181.0
28.0,70.0,433.0,4232.0,147.0,1844.0,12173.0,137322.0,4181.0
29.0,70.0,351.0,4175.0,204.0,1844.0,12173.0,137322.0,4181.0
30.0,70.0,455.0,4025.0,7.0,1844.0,12173.0,137322.0,4181.0
