Day,Good_periods,Cost,Answered_calls,Dropped_calls,Total_good_periods,Total_cost,Total_answered_calls,Total_dropped_calls
1.0,71.0,452.0,5410.0,85.0,2088.0,12173.0,135031.0,6472.0
2.0,72.0,416.0,5024.0,78.0,2088.0,12173.0,135031.0,6472.0
3.0,67.0,348.0,5435.0,752.0,2088.0,12173.0,135031.0,6472.0
4.0,61.0,292.0,4974.0,1167.0,2088.0,12173.0,135031.0,6472.0
5.0,66.0,404.0,5437.0,224.0,2088.0,12173.0,135031.0,6472.0
6.0,65.0,376.0,6333.0,1490.0,2088.0,12173.0,135031.0,6472.0
7.0,64.0,420.0,5571.0,339.0,2088.0,12173.0,135031.0,6472.0
8.0,66.0,352.0,4532.0,236.0,2088.0,12173.0,135031.0,6472.0
9.0,65.0,344.0,3991.0,115.0,2088.0,12173.0,135031.0,6472.0
10.0,67.0,356.0,4850.0,237.0,2088.0,12173.0,135031.0,6472.0
11.0,68.0,400.0,4839.0,129.0,2088.0,12173.0,135031.0,6472.0
12.0,70.0,416.0,4417.0,93.0,2088.0,12173.0,135031.0,6472.0
13.0,70.0,464.0,4448.0,10.0,2088.0,12173.0,135031.0,6472.0
14.0,70.0,412.0,3918.0,42.0,2088.0,12173.0,135031.0,6472.0
15.0,71.0,348.0,4024.0,130.0,2088.0,12173.0,135031.0,6472.0
16.0,71.0,408.0,3891.0,18.0,2088.0,12173.0,135031.0,6472.0
17.0,71.0,445.0,4438.0,188.0,2088.0,12173.0,135031.0,6472.0
18.0,71.0,432.0,4019.0,84.0,2088.0,12173.0,135031.0,6472.0
19.0,71.0,457.0,4233.0,4.0,2088.0,12173.0,135031.0,6472.0
20.0,71.0,437.0,4309.0,8.0,2088.0,12173.0,135031.0,6472.0
21.0,72.0,463.0,4449.0,26.0,2088.0,12173.0,135031.0,6472.0
22.0,72.0,454.0,3833.0,17.0,2088.0,12173.0,135031.0,6472.0
23.0,72.0,433.0,3663.0,4.0,2088.0,12173.0,135031.0,6472.0
24.0,72.0,434.0,3896.0,75.0,2088.0,12173.0,135031.0,6472.0
25.0,72.0,434.0,4448.0,156.0,2088.0,12173.0,135031.0,6472.0
26.0,72.0,382.0,4189.0,30.0,2088.0,12173.0,135031.0,6472.0
27.0,72.0,355.0,4213.0,192.0,2088.0,12173.0,135031.0,6472.0
28.0,72.0,433.0,4175.0,204.0,2088.0,12173.0,135031.0,6472.0
29.0,72.0,351.0,4055.0,324.0,2088.0,12173.0,135031.0,6472.0
30.0,72.0,455.0,4017.0,15.0,2088.0,12173.0,135031.0,6472.0
