Explored_history,Best_history,Cycle_number,Start_time,End_time,Break_start,Break_end,Staff_number
1476,1476.0,1.0,6.0,13.0,25.0,25.0,0.0
1615,1615.0,1.0,6.0,14.0,25.0,25.0,0.0
1579,1579.0,1.0,7.0,14.0,25.0,25.0,2.0
1624,1624.0,1.0,8.0,12.0,25.0,25.0,0.0
1631,1631.0,1.0,8.0,16.0,25.0,25.0,0.0
1608,1608.0,1.0,12.0,20.0,25.0,25.0,0.0
1535,1535.0,1.0,13.0,21.0,25.0,25.0,0.0
1555,1555.0,1.0,14.0,21.0,25.0,25.0,0.0
1553,1553.0,1.0,14.0,22.0,25.0,25.0,0.0
1529,1529.0,1.0,15.0,22.0,25.0,25.0,0.0
1577,1577.0,1.0,16.0,24.0,25.0,25.0,0.0
1609,1609.0,1.0,17.0,21.0,25.0,25.0,0.0
1610,1610.0,1.0,17.0,24.0,25.0,25.0,0.0
1613,1613.0,2.0,6.0,13.0,25.0,25.0,0.0
1571,1571.0,2.0,6.0,14.0,25.0,25.0,1.0
1614,1614.0,2.0,7.0,14.0,25.0,25.0,0.0
1536,1536.0,2.0,8.0,12.0,25.0,25.0,0.0
1569,1569.0,2.0,8.0,16.0,25.0,25.0,1.0
1640,1640.0,2.0,12.0,20.0,25.0,25.0,1.0
1642,1642.0,2.0,13.0,21.0,25.0,25.0,1.0
1623,1623.0,2.0,14.0,21.0,25.0,25.0,0.0
1579,1579.0,2.0,14.0,22.0,25.0,25.0,0.0
1482,1482.0,2.0,15.0,22.0,25.0,25.0,0.0
1421,1421.0,2.0,16.0,24.0,25.0,25.0,0.0
1615,1615.0,2.0,17.0,21.0,25.0,25.0,0.0
1559,1559.0,2.0,17.0,24.0,25.0,25.0,0.0
1620,1620.0,3.0,6.0,13.0,25.0,25.0,1.0
1639,1639.0,3.0,6.0,14.0,25.0,25.0,0.0
1636,1636.0,3.0,7.0,14.0,25.0,25.0,2.0
1641,1641.0,3.0,8.0,12.0,25.0,25.0,1.0
1539,1539.0,3.0,8.0,16.0,25.0,25.0,0.0
1640,1640.0,3.0,12.0,20.0,25.0,25.0,0.0
1645,1645.0,3.0,13.0,21.0,25.0,25.0,3.0
1646,1646.0,3.0,14.0,21.0,25.0,25.0,0.0
1639,1639.0,3.0,14.0,22.0,25.0,25.0,1.0
1647,1647.0,3.0,15.0,22.0,25.0,25.0,0.0
1621,1621.0,3.0,16.0,24.0,25.0,25.0,0.0
1609,1609.0,3.0,17.0,21.0,25.0,25.0,2.0
1548,1548.0,3.0,17.0,24.0,25.0,25.0,0.0
1565,1565.0,4.0,6.0,13.0,25.0,25.0,0.0
1584,1584.0,4.0,6.0,14.0,25.0,25.0,0.0
1619,1619.0,4.0,7.0,14.0,25.0,25.0,1.0
1585,1585.0,4.0,8.0,12.0,25.0,25.0,0.0
1538,1538.0,4.0,8.0,16.0,25.0,25.0,1.0
1488,1488.0,4.0,12.0,20.0,25.0,25.0,0.0
1564,1564.0,4.0,13.0,21.0,25.0,25.0,0.0
1434,1434.0,4.0,14.0,21.0,25.0,25.0,0.0
1480,1480.0,4.0,14.0,22.0,25.0,25.0,0.0
1628,1628.0,4.0,15.0,22.0,25.0,25.0,1.0
1635,1635.0,4.0,16.0,24.0,25.0,25.0,1.0
1516,1516.0,4.0,17.0,21.0,25.0,25.0,0.0
1557,1557.0,4.0,17.0,24.0,25.0,25.0,1.0
1558,1558.0,5.0,6.0,13.0,25.0,25.0,0.0
1536,1536.0,5.0,6.0,14.0,25.0,25.0,0.0
1617,1617.0,5.0,7.0,14.0,25.0,25.0,0.0
1642,1642.0,5.0,8.0,12.0,25.0,25.0,0.0
1651,1651.0,5.0,8.0,16.0,25.0,25.0,0.0
1558,1558.0,5.0,12.0,20.0,25.0,25.0,1.0
1560,1560.0,5.0,13.0,21.0,25.0,25.0,0.0
1509,1509.0,5.0,14.0,21.0,25.0,25.0,0.0
1557,1557.0,5.0,14.0,22.0,25.0,25.0,2.0
1494,1494.0,5.0,15.0,22.0,25.0,25.0,1.0
1482,1482.0,5.0,16.0,24.0,25.0,25.0,0.0
1429,1429.0,5.0,17.0,21.0,25.0,25.0,0.0
1459,1459.0,5.0,17.0,24.0,25.0,25.0,1.0
1544,1544.0,6.0,6.0,13.0,25.0,25.0,0.0
1567,1567.0,6.0,6.0,14.0,25.0,25.0,0.0
1450,1450.0,6.0,7.0,14.0,25.0,25.0,1.0
1493,1493.0,6.0,8.0,12.0,25.0,25.0,2.0
1556,1556.0,6.0,8.0,16.0,25.0,25.0,1.0
1599,1599.0,6.0,12.0,20.0,25.0,25.0,0.0
1628,1628.0,6.0,13.0,21.0,25.0,25.0,1.0
1627,1627.0,6.0,14.0,21.0,25.0,25.0,0.0
1633,1633.0,6.0,14.0,22.0,25.0,25.0,0.0
1571,1571.0,6.0,15.0,22.0,25.0,25.0,3.0
1454,1593.0,6.0,16.0,24.0,25.0,25.0,0.0
1593,1609.0,6.0,17.0,21.0,25.0,25.0,1.0
1609,1591.0,6.0,17.0,24.0,25.0,25.0,1.0
1591,1569.0,7.0,6.0,13.0,25.0,25.0,0.0
1525,1641.0,7.0,6.0,14.0,25.0,25.0,0.0
1569,1630.0,7.0,7.0,14.0,25.0,25.0,1.0
1641,1644.0,7.0,8.0,12.0,25.0,25.0,0.0
1630,1645.0,7.0,8.0,16.0,25.0,25.0,0.0
1571,1634.0,7.0,12.0,20.0,25.0,25.0,1.0
1644,1644.0,7.0,13.0,21.0,25.0,25.0,0.0
1645,1644.0,7.0,14.0,21.0,25.0,25.0,1.0
1596,1636.0,7.0,14.0,22.0,25.0,25.0,1.0
1634,1647.0,7.0,15.0,22.0,25.0,25.0,1.0
1598,1651.0,7.0,16.0,24.0,25.0,25.0,0.0
1644,1648.0,7.0,17.0,21.0,25.0,25.0,0.0
1577,1648.0,7.0,17.0,24.0,25.0,25.0,0.0
1644,1650.0,8.0,6.0,13.0,25.0,25.0,0.0
1606,1653.0,8.0,6.0,14.0,25.0,25.0,0.0
1636,1656.0,8.0,7.0,14.0,25.0,25.0,0.0
1573,1656.0,8.0,8.0,12.0,25.0,25.0,0.0
1647,,8.0,8.0,16.0,25.0,25.0,0.0
1651,,8.0,12.0,20.0,25.0,25.0,4.0
1648,,8.0,13.0,21.0,25.0,25.0,1.0
1635,,8.0,14.0,21.0,25.0,25.0,1.0
1624,,8.0,14.0,22.0,25.0,25.0,0.0
1635,,8.0,15.0,22.0,25.0,25.0,0.0
1602,,8.0,16.0,24.0,25.0,25.0,0.0
1632,,8.0,17.0,21.0,25.0,25.0,0.0
1640,,8.0,17.0,24.0,25.0,25.0,1.0
1628,,9.0,6.0,13.0,25.0,25.0,2.0
1633,,9.0,6.0,14.0,25.0,25.0,0.0
1626,,9.0,7.0,14.0,25.0,25.0,0.0
1639,,9.0,8.0,12.0,25.0,25.0,0.0
1595,,9.0,8.0,16.0,25.0,25.0,0.0
1639,,9.0,12.0,20.0,25.0,25.0,0.0
1633,,9.0,13.0,21.0,25.0,25.0,0.0
1597,,9.0,14.0,21.0,25.0,25.0,1.0
1561,,9.0,14.0,22.0,25.0,25.0,1.0
1639,,9.0,15.0,22.0,25.0,25.0,0.0
1609,,9.0,16.0,24.0,25.0,25.0,0.0
1648,,9.0,17.0,21.0,25.0,25.0,2.0
1647,,9.0,17.0,24.0,25.0,25.0,0.0
1631,,10.0,6.0,13.0,25.0,25.0,0.0
1650,,10.0,6.0,14.0,25.0,25.0,0.0
1628,,10.0,7.0,14.0,25.0,25.0,1.0
1600,,10.0,8.0,12.0,25.0,25.0,0.0
1641,,10.0,8.0,16.0,25.0,25.0,3.0
1628,,10.0,12.0,20.0,25.0,25.0,0.0
1618,,10.0,13.0,21.0,25.0,25.0,0.0
1642,,10.0,14.0,21.0,25.0,25.0,2.0
1645,,10.0,14.0,22.0,25.0,25.0,0.0
1637,,10.0,15.0,22.0,25.0,25.0,1.0
1653,,10.0,16.0,24.0,25.0,25.0,0.0
1635,,10.0,17.0,21.0,25.0,25.0,2.0
1649,,10.0,17.0,24.0,25.0,25.0,0.0
