Day,Start_time,End_time,Break_start,Break_end,Staff_number
1,6,14,25,25,10
1,8,12,25,25,6
1,8,16,25,25,11
1,8,21,12,17,6
1,13,21,25,25,1
1,14,22,25,25,12
1,16,24,25,25,11
1,17,21,25,25,5
2,6,14,25,25,10
2,8,12,25,25,10
2,8,16,25,25,8
2,8,21,12,17,7
2,13,21,25,25,3
2,14,22,25,25,12
2,16,24,25,25,6
2,17,21,25,25,2
3,6,14,25,25,10
3,8,12,25,25,7
3,8,16,25,25,6
3,8,21,12,17,7
3,13,21,25,25,2
3,14,22,25,25,7
3,16,24,25,25,6
3,17,21,25,25,4
4,6,14,25,25,7
4,8,12,25,25,6
4,8,16,25,25,6
4,8,21,12,17,6
4,14,22,25,25,7
4,16,24,25,25,6
4,17,21,25,25,3
5,6,14,25,25,13
5,8,12,25,25,7
5,8,16,25,25,6
5,8,21,12,17,4
5,13,21,25,25,3
5,14,22,25,25,12
5,16,24,25,25,7
5,17,21,25,25,4
6,6,14,25,25,10
6,8,12,25,25,9
6,8,16,25,25,8
6,8,21,12,17,6
6,13,21,25,25,1
6,14,22,25,25,10
6,16,24,25,25,7
6,17,21,25,25,1
7,6,14,25,25,10
7,8,12,25,25,9
7,8,16,25,25,8
7,8,21,12,17,4
7,13,21,25,25,2
7,14,22,25,25,10
7,16,24,25,25,13
7,17,21,25,25,2
8,6,14,25,25,8
8,8,12,25,25,9
8,8,16,25,25,7
8,8,21,12,17,7
8,14,22,25,25,10
8,16,24,25,25,6
8,17,21,25,25,3
9,6,14,25,25,6
9,8,12,25,25,9
9,8,16,25,25,7
9,8,21,12,17,7
9,13,21,25,25,2
9,14,22,25,25,10
9,16,24,25,25,5
9,17,21,25,25,3
10,6,14,25,25,5
10,8,12,25,25,4
10,8,16,25,25,13
10,8,21,12,17,6
10,13,21,25,25,2
10,14,22,25,25,10
10,16,24,25,25,5
10,17,21,25,25,3
11,6,14,25,25,6
11,8,12,25,25,6
11,8,16,25,25,13
11,8,21,12,17,5
11,14,22,25,25,11
11,16,24,25,25,8
11,17,21,25,25,8
12,6,14,25,25,6
12,8,12,25,25,6
12,8,16,25,25,13
12,8,21,12,17,4
12,13,21,25,25,3
12,14,22,25,25,11
12,16,24,25,25,8
12,17,21,25,25,8
13,6,14,25,25,14
13,8,12,25,25,4
13,8,16,25,25,12
13,8,21,12,17,6
13,13,21,25,25,1
13,14,22,25,25,11
13,16,24,25,25,8
13,17,21,25,25,8
14,6,14,25,25,10
14,8,12,25,25,4
14,8,16,25,25,13
14,8,21,12,17,4
14,13,21,25,25,2
14,14,22,25,25,8
14,16,24,25,25,8
14,17,21,25,25,9
15,6,14,25,25,10
15,8,12,25,25,2
15,8,16,25,25,6
15,8,21,12,17,6
15,13,21,25,25,1
15,14,22,25,25,7
15,16,24,25,25,8
15,17,21,25,25,9
16,6,14,25,25,10
16,8,12,25,25,4
16,8,16,25,25,10
16,8,21,12,17,7
16,13,21,25,25,3
16,14,22,25,25,7
16,16,24,25,25,8
16,17,21,25,25,8
17,6,13,25,25,14
17,7,14,25,25,7
17,8,21,12,18,13
17,12,21.5,17,19.5,11
17,12,20,25,25,4
17,15,22,25,25,7
17,17,24,25,25,7
18,6,13,25,25,14
18,7,14,25,25,7
18,8,21,12,19,13
18,12,21.5,17,19.5,11
18,12,20,25,25,4
18,15,22,25,25,7
18,17,24,25,25,7
19,6,13,25,25,14
19,7,14,25,25,7
19,12,21.5,17,19.5,11
19,12,20,25,25,9
19,14,21,25,25,9
19,15,22,25,25,7
19,17,24,25,25,7
20,6,13,25,25,14
20,7,14,25,25,9
20,8,21,11,18,13
20,12,20,25,25,9
20,13,21.5,18,19.5,11
20,17,24,25,25,7
21,6,13,25,25,14
21,7,14,25,25,9
21,8,21,11,18,13
21,13,21,25,25,14
21,14,21,25,25,9
21,17,24,25,25,7
22,6,13,25,25,14
22,7,14,25,25,9
22,8,21,11,18,13
22,12,20,25,25,5
22,13,21.5,18,19.5,11
22,15,22,25,25,8
22,17,24,25,25,6
23,6,13,25,25,11
23,7,14,25,25,9
23,8,21,11,18,13
23,12,20,25,25,5
23,13,21.5,18,19.5,11
23,15,22,25,25,8
23,17,24,25,25,6
24,6,13,25,25,14
24,7,14,25,25,8
24,8,21,12,19,13
24,12,21.5,17,19.5,11
24,13,21,25,25,6
24,15,22,25,25,5
24,17,24,25,25,6
25,6,13,25,25,14
25,7,14,25,25,8
25,8,21,12,19,13
25,12,21.5,17,19.5,11
25,13,21,25,25,6
25,15,22,25,25,5
25,17,24,25,25,6
26,6,13,25,25,14
26,7,14,25,25,9
26,13,21,25,25,11
26,14,21,25,25,8
26,15,22,25,25,5
26,17,24,25,25,6
27,6,13,25,25,14
27,7,14,25,25,9
27,12,21.5,17,19.5,11
27,13,21,25,25,5
27,15,22,25,25,5
27,17,24,25,25,6
28,6,13,25,25,14
28,7,14,25,25,9
28,8,21,12,19,13
28,12,21.5,17,19.5,11
28,13,21,25,25,5
28,15,22,25,25,5
28,17,24,25,25,6
29,6,13,25,25,14
29,7,14,25,25,1
29,8,21,12,19,13
29,12,21.5,17,19.5,11
29,15,22,25,25,7
29,17,24,25,25,6
30,6,13,25,25,14
30,7,14,25,25,9
30,8,21,12,19,13
30,12,21.5,17,19.5,11
30,13,21,25,25,6
30,15,22,25,25,7
30,17,24,25,25,6
