Cycle_number,Start_time,End_time,Break_start,Break_end
1,6,14,25,25
1,16,24,25,25
1,6,13,25,25
1,8,16,25,25
1,8,12,25,25
1,17,21,25,25
1,14,22,25,25
1,17,24,25,25
1,14,21,25,25
1,7,14,25,25
1,15,22,25,25
1,13,21,25,25
1,12,20,25,25
2,6,14,25,25
2,16,24,25,25
2,6,13,25,25
2,8,16,25,25
2,8,12,25,25
2,17,21,25,25
2,14,22,25,25
2,17,24,25,25
2,14,21,25,25
2,7,14,25,25
2,15,22,25,25
2,13,21,25,25
2,12,20,25,25
3,6,14,25,25
3,16,24,25,25
3,6,13,25,25
3,8,16,25,25
3,8,12,25,25
3,17,21,25,25
3,14,22,25,25
3,17,24,25,25
3,14,21,25,25
3,7,14,25,25
3,15,22,25,25
3,13,21,25,25
3,12,20,25,25
4,6,14,25,25
4,16,24,25,25
4,6,13,25,25
4,8,16,25,25
4,8,12,25,25
4,17,21,25,25
4,14,22,25,25
4,17,24,25,25
4,14,21,25,25
4,7,14,25,25
4,15,22,25,25
4,13,21,25,25
4,12,20,25,25
5,6,14,25,25
5,16,24,25,25
5,6,13,25,25
5,8,16,25,25
5,8,12,25,25
5,17,21,25,25
5,14,22,25,25
5,17,24,25,25
5,14,21,25,25
5,7,14,25,25
5,15,22,25,25
5,13,21,25,25
5,12,20,25,25
6,6,14,25,25
6,16,24,25,25
6,6,13,25,25
6,8,16,25,25
6,8,12,25,25
6,17,21,25,25
6,14,22,25,25
6,17,24,25,25
6,14,21,25,25
6,7,14,25,25
6,15,22,25,25
6,13,21,25,25
6,12,20,25,25
7,6,14,25,25
7,16,24,25,25
7,6,13,25,25
7,8,16,25,25
7,8,12,25,25
7,17,21,25,25
7,14,22,25,25
7,17,24,25,25
7,14,21,25,25
7,7,14,25,25
7,15,22,25,25
7,13,21,25,25
7,12,20,25,25
8,6,14,25,25
8,16,24,25,25
8,6,13,25,25
8,8,16,25,25
8,8,12,25,25
8,17,21,25,25
8,14,22,25,25
8,17,24,25,25
8,14,21,25,25
8,7,14,25,25
8,15,22,25,25
8,13,21,25,25
8,12,20,25,25
9,6,14,25,25
9,16,24,25,25
9,6,13,25,25
9,8,16,25,25
9,8,12,25,25
9,17,21,25,25
9,14,22,25,25
9,17,24,25,25
9,14,21,25,25
9,7,14,25,25
9,15,22,25,25
9,13,21,25,25
9,12,20,25,25
10,6,14,25,25
10,16,24,25,25
10,6,13,25,25
10,8,16,25,25
10,8,12,25,25
10,17,21,25,25
10,14,22,25,25
10,17,24,25,25
10,14,21,25,25
10,7,14,25,25
10,15,22,25,25
10,13,21,25,25
10,12,20,25,25
11,6,14,25,25
11,16,24,25,25
11,6,13,25,25
11,8,16,25,25
11,8,12,25,25
11,17,21,25,25
11,14,22,25,25
11,17,24,25,25
11,14,21,25,25
11,7,14,25,25
11,15,22,25,25
11,13,21,25,25
11,12,20,25,25
12,6,14,25,25
12,16,24,25,25
12,6,13,25,25
12,8,16,25,25
12,8,12,25,25
12,17,21,25,25
12,14,22,25,25
12,17,24,25,25
12,14,21,25,25
12,7,14,25,25
12,15,22,25,25
12,13,21,25,25
12,12,20,25,25
