Cycle_number,Start_time,End_time,Break_start,Break_end
1,6,10,25,25
1,7,11,25,25
1,8,12,25,25
1,9,13,25,25
1,10,14,25,25
1,11,15,25,25
1,12,16,25,25
1,13,17,25,25
1,14,18,25,25
1,15,19,25,25
1,16,20,25,25
1,17,21,25,25
1,18,22,25,25
1,19,23,25,25
1,20,24,25,25
1,6,13,25,25
1,7,14,25,25
1,8,15,25,25
1,9,16,25,25
1,10,17,25,25
1,11,18,25,25
1,12,19,25,25
1,13,20,25,25
1,14,21,25,25
1,15,22,25,25
1,16,23,25,25
1,17,24,25,25
1,6,14,25,25
1,7,15,25,25
1,8,16,25,25
1,9,17,25,25
1,10,18,25,25
1,11,19,25,25
1,12,20,25,25
1,13,21,25,25
1,14,22,25,25
1,15,23,25,25
1,16,24,25,25
2,6,10,25,25
2,7,11,25,25
2,8,12,25,25
2,9,13,25,25
2,10,14,25,25
2,11,15,25,25
2,12,16,25,25
2,13,17,25,25
2,14,18,25,25
2,15,19,25,25
2,16,20,25,25
2,17,21,25,25
2,18,22,25,25
2,19,23,25,25
2,20,24,25,25
2,6,13,25,25
2,7,14,25,25
2,8,15,25,25
2,9,16,25,25
2,10,17,25,25
2,11,18,25,25
2,12,19,25,25
2,13,20,25,25
2,14,21,25,25
2,15,22,25,25
2,16,23,25,25
2,17,24,25,25
2,6,14,25,25
2,7,15,25,25
2,8,16,25,25
2,9,17,25,25
2,10,18,25,25
2,11,19,25,25
2,12,20,25,25
2,13,21,25,25
2,14,22,25,25
2,15,23,25,25
2,16,24,25,25
3,6,10,25,25
3,7,11,25,25
3,8,12,25,25
3,9,13,25,25
3,10,14,25,25
3,11,15,25,25
3,12,16,25,25
3,13,17,25,25
3,14,18,25,25
3,15,19,25,25
3,16,20,25,25
3,17,21,25,25
3,18,22,25,25
3,19,23,25,25
3,20,24,25,25
3,6,13,25,25
3,7,14,25,25
3,8,15,25,25
3,9,16,25,25
3,10,17,25,25
3,11,18,25,25
3,12,19,25,25
3,13,20,25,25
3,14,21,25,25
3,15,22,25,25
3,16,23,25,25
3,17,24,25,25
3,6,14,25,25
3,7,15,25,25
3,8,16,25,25
3,9,17,25,25
3,10,18,25,25
3,11,19,25,25
3,12,20,25,25
3,13,21,25,25
3,14,22,25,25
3,15,23,25,25
3,16,24,25,25
4,6,10,25,25
4,7,11,25,25
4,8,12,25,25
4,9,13,25,25
4,10,14,25,25
4,11,15,25,25
4,12,16,25,25
4,13,17,25,25
4,14,18,25,25
4,15,19,25,25
4,16,20,25,25
4,17,21,25,25
4,18,22,25,25
4,19,23,25,25
4,20,24,25,25
4,6,13,25,25
4,7,14,25,25
4,8,15,25,25
4,9,16,25,25
4,10,17,25,25
4,11,18,25,25
4,12,19,25,25
4,13,20,25,25
4,14,21,25,25
4,15,22,25,25
4,16,23,25,25
4,17,24,25,25
4,6,14,25,25
4,7,15,25,25
4,8,16,25,25
4,9,17,25,25
4,10,18,25,25
4,11,19,25,25
4,12,20,25,25
4,13,21,25,25
4,14,22,25,25
4,15,23,25,25
4,16,24,25,25
5,6,10,25,25
5,7,11,25,25
5,8,12,25,25
5,9,13,25,25
5,10,14,25,25
5,11,15,25,25
5,12,16,25,25
5,13,17,25,25
5,14,18,25,25
5,15,19,25,25
5,16,20,25,25
5,17,21,25,25
5,18,22,25,25
5,19,23,25,25
5,20,24,25,25
5,6,13,25,25
5,7,14,25,25
5,8,15,25,25
5,9,16,25,25
5,10,17,25,25
5,11,18,25,25
5,12,19,25,25
5,13,20,25,25
5,14,21,25,25
5,15,22,25,25
5,16,23,25,25
5,17,24,25,25
5,6,14,25,25
5,7,15,25,25
5,8,16,25,25
5,9,17,25,25
5,10,18,25,25
5,11,19,25,25
5,12,20,25,25
5,13,21,25,25
5,14,22,25,25
5,15,23,25,25
5,16,24,25,25
6,6,10,25,25
6,7,11,25,25
6,8,12,25,25
6,9,13,25,25
6,10,14,25,25
6,11,15,25,25
6,12,16,25,25
6,13,17,25,25
6,14,18,25,25
6,15,19,25,25
6,16,20,25,25
6,17,21,25,25
6,18,22,25,25
6,19,23,25,25
6,20,24,25,25
6,6,13,25,25
6,7,14,25,25
6,8,15,25,25
6,9,16,25,25
6,10,17,25,25
6,11,18,25,25
6,12,19,25,25
6,13,20,25,25
6,14,21,25,25
6,15,22,25,25
6,16,23,25,25
6,17,24,25,25
6,6,14,25,25
6,7,15,25,25
6,8,16,25,25
6,9,17,25,25
6,10,18,25,25
6,11,19,25,25
6,12,20,25,25
6,13,21,25,25
6,14,22,25,25
6,15,23,25,25
6,16,24,25,25
7,6,10,25,25
7,7,11,25,25
7,8,12,25,25
7,9,13,25,25
7,10,14,25,25
7,11,15,25,25
7,12,16,25,25
7,13,17,25,25
7,14,18,25,25
7,15,19,25,25
7,16,20,25,25
7,17,21,25,25
7,18,22,25,25
7,19,23,25,25
7,20,24,25,25
7,6,13,25,25
7,7,14,25,25
7,8,15,25,25
7,9,16,25,25
7,10,17,25,25
7,11,18,25,25
7,12,19,25,25
7,13,20,25,25
7,14,21,25,25
7,15,22,25,25
7,16,23,25,25
7,17,24,25,25
7,6,14,25,25
7,7,15,25,25
7,8,16,25,25
7,9,17,25,25
7,10,18,25,25
7,11,19,25,25
7,12,20,25,25
7,13,21,25,25
7,14,22,25,25
7,15,23,25,25
7,16,24,25,25
8,6,10,25,25
8,7,11,25,25
8,8,12,25,25
8,9,13,25,25
8,10,14,25,25
8,11,15,25,25
8,12,16,25,25
8,13,17,25,25
8,14,18,25,25
8,15,19,25,25
8,16,20,25,25
8,17,21,25,25
8,18,22,25,25
8,19,23,25,25
8,20,24,25,25
8,6,13,25,25
8,7,14,25,25
8,8,15,25,25
8,9,16,25,25
8,10,17,25,25
8,11,18,25,25
8,12,19,25,25
8,13,20,25,25
8,14,21,25,25
8,15,22,25,25
8,16,23,25,25
8,17,24,25,25
8,6,14,25,25
8,7,15,25,25
8,8,16,25,25
8,9,17,25,25
8,10,18,25,25
8,11,19,25,25
8,12,20,25,25
8,13,21,25,25
8,14,22,25,25
8,15,23,25,25
8,16,24,25,25
9,6,10,25,25
9,7,11,25,25
9,8,12,25,25
9,9,13,25,25
9,10,14,25,25
9,11,15,25,25
9,12,16,25,25
9,13,17,25,25
9,14,18,25,25
9,15,19,25,25
9,16,20,25,25
9,17,21,25,25
9,18,22,25,25
9,19,23,25,25
9,20,24,25,25
9,6,13,25,25
9,7,14,25,25
9,8,15,25,25
9,9,16,25,25
9,10,17,25,25
9,11,18,25,25
9,12,19,25,25
9,13,20,25,25
9,14,21,25,25
9,15,22,25,25
9,16,23,25,25
9,17,24,25,25
9,6,14,25,25
9,7,15,25,25
9,8,16,25,25
9,9,17,25,25
9,10,18,25,25
9,11,19,25,25
9,12,20,25,25
9,13,21,25,25
9,14,22,25,25
9,15,23,25,25
9,16,24,25,25
10,6,10,25,25
10,7,11,25,25
10,8,12,25,25
10,9,13,25,25
10,10,14,25,25
10,11,15,25,25
10,12,16,25,25
10,13,17,25,25
10,14,18,25,25
10,15,19,25,25
10,16,20,25,25
10,17,21,25,25
10,18,22,25,25
10,19,23,25,25
10,20,24,25,25
10,6,13,25,25
10,7,14,25,25
10,8,15,25,25
10,9,16,25,25
10,10,17,25,25
10,11,18,25,25
10,12,19,25,25
10,13,20,25,25
10,14,21,25,25
10,15,22,25,25
10,16,23,25,25
10,17,24,25,25
10,6,14,25,25
10,7,15,25,25
10,8,16,25,25
10,9,17,25,25
10,10,18,25,25
10,11,19,25,25
10,12,20,25,25
10,13,21,25,25
10,14,22,25,25
10,15,23,25,25
10,16,24,25,25
11,6,10,25,25
11,7,11,25,25
11,8,12,25,25
11,9,13,25,25
11,10,14,25,25
11,11,15,25,25
11,12,16,25,25
11,13,17,25,25
11,14,18,25,25
11,15,19,25,25
11,16,20,25,25
11,17,21,25,25
11,18,22,25,25
11,19,23,25,25
11,20,24,25,25
11,6,13,25,25
11,7,14,25,25
11,8,15,25,25
11,9,16,25,25
11,10,17,25,25
11,11,18,25,25
11,12,19,25,25
11,13,20,25,25
11,14,21,25,25
11,15,22,25,25
11,16,23,25,25
11,17,24,25,25
11,6,14,25,25
11,7,15,25,25
11,8,16,25,25
11,9,17,25,25
11,10,18,25,25
11,11,19,25,25
11,12,20,25,25
11,13,21,25,25
11,14,22,25,25
11,15,23,25,25
11,16,24,25,25
12,6,10,25,25
12,7,11,25,25
12,8,12,25,25
12,9,13,25,25
12,10,14,25,25
12,11,15,25,25
12,12,16,25,25
12,13,17,25,25
12,14,18,25,25
12,15,19,25,25
12,16,20,25,25
12,17,21,25,25
12,18,22,25,25
12,19,23,25,25
12,20,24,25,25
12,6,13,25,25
12,7,14,25,25
12,8,15,25,25
12,9,16,25,25
12,10,17,25,25
12,11,18,25,25
12,12,19,25,25
12,13,20,25,25
12,14,21,25,25
12,15,22,25,25
12,16,23,25,25
12,17,24,25,25
12,6,14,25,25
12,7,15,25,25
12,8,16,25,25
12,9,17,25,25
12,10,18,25,25
12,11,19,25,25
12,12,20,25,25
12,13,21,25,25
12,14,22,25,25
12,15,23,25,25
12,16,24,25,25
