Arrival_time,Service_duration,Time_to_abandon,Day
21608.0,136.0,11.0,1.0
21700.0,136.0,31.0,1.0
21773.0,136.0,7.0,1.0
21776.0,136.0,9.0,1.0
21821.0,136.0,32.0,1.0
22098.0,136.0,88.0,1.0
22171.0,136.0,22.0,1.0
22183.0,136.0,31.0,1.0
22251.0,136.0,17.0,1.0
22272.0,136.0,9.0,1.0
22303.0,136.0,5.0,1.0
22391.0,136.0,15.0,1.0
22403.0,136.0,49.0,1.0
22811.0,324.0,9.0,1.0
22842.0,324.0,53.0,1.0
23231.0,324.0,9.0,1.0
23249.0,324.0,27.0,1.0
23326.0,324.0,50.0,1.0
23406.0,110.0,16.0,1.0
23448.0,110.0,20.0,1.0
23453.0,110.0,35.0,1.0
23551.0,110.0,6.0,1.0
23574.0,110.0,3.0,1.0
23607.0,110.0,55.0,1.0
23741.0,110.0,36.0,1.0
23771.0,110.0,5.0,1.0
23820.0,110.0,7.0,1.0
23847.0,110.0,67.0,1.0
23935.0,110.0,86.0,1.0
23940.0,110.0,15.0,1.0
23984.0,110.0,15.0,1.0
24008.0,110.0,9.0,1.0
24023.0,110.0,52.0,1.0
24079.0,110.0,38.0,1.0
24093.0,110.0,14.0,1.0
24126.0,110.0,17.0,1.0
24141.0,110.0,11.0,1.0
24171.0,110.0,37.0,1.0
24298.0,110.0,21.0,1.0
24308.0,144.0,20.0,1.0
24321.0,144.0,50.0,1.0
24444.0,144.0,30.0,1.0
24554.0,144.0,4.0,1.0
24635.0,144.0,70.0,1.0
24714.0,144.0,25.0,1.0
24739.0,144.0,81.0,1.0
24796.0,144.0,15.0,1.0
24865.0,144.0,23.0,1.0
24889.0,144.0,48.0,1.0
24890.0,144.0,42.0,1.0
25001.0,144.0,44.0,1.0
25098.0,144.0,24.0,1.0
25108.0,144.0,8.0,1.0
25109.0,144.0,12.0,1.0
25123.0,144.0,2.0,1.0
25133.0,144.0,50.0,1.0
25168.0,144.0,3.0,1.0
25172.0,144.0,4.0,1.0
25185.0,144.0,29.0,1.0
25227.0,162.0,4.0,1.0
25246.0,162.0,37.0,1.0
25262.0,162.0,38.0,1.0
25268.0,162.0,50.0,1.0
25289.0,162.0,5.0,1.0
25295.0,162.0,25.0,1.0
25318.0,162.0,0.0,1.0
25346.0,162.0,43.0,1.0
25407.0,162.0,2.0,1.0
25410.0,162.0,0.0,1.0
25421.0,162.0,59.0,1.0
25488.0,162.0,31.0,1.0
25505.0,162.0,19.0,1.0
25592.0,162.0,4.0,1.0
25630.0,162.0,49.0,1.0
25665.0,162.0,38.0,1.0
25707.0,162.0,15.0,1.0
25721.0,162.0,4.0,1.0
25753.0,162.0,40.0,1.0
25800.0,162.0,15.0,1.0
25816.0,162.0,5.0,1.0
25836.0,162.0,20.0,1.0
25915.0,162.0,15.0,1.0
25924.0,162.0,32.0,1.0
25981.0,162.0,32.0,1.0
25984.0,162.0,35.0,1.0
25987.0,162.0,2.0,1.0
26021.0,162.0,34.0,1.0
26056.0,162.0,48.0,1.0
26109.0,132.0,33.0,1.0
26110.0,132.0,17.0,1.0
26141.0,132.0,73.0,1.0
26221.0,132.0,62.0,1.0
26271.0,132.0,7.0,1.0
26290.0,132.0,20.0,1.0
26329.0,132.0,38.0,1.0
26341.0,132.0,31.0,1.0
26348.0,132.0,41.0,1.0
26352.0,132.0,12.0,1.0
26379.0,132.0,14.0,1.0
26380.0,132.0,1.0,1.0
26431.0,132.0,19.0,1.0
26440.0,132.0,54.0,1.0
26477.0,132.0,68.0,1.0
26478.0,132.0,9.0,1.0
26486.0,132.0,86.0,1.0
26494.0,132.0,8.0,1.0
26508.0,132.0,93.0,1.0
26532.0,132.0,21.0,1.0
26545.0,132.0,14.0,1.0
26571.0,132.0,37.0,1.0
26574.0,132.0,23.0,1.0
26581.0,132.0,49.0,1.0
26672.0,132.0,92.0,1.0
26750.0,132.0,22.0,1.0
26762.0,132.0,7.0,1.0
26784.0,132.0,73.0,1.0
26785.0,132.0,13.0,1.0
26786.0,132.0,23.0,1.0
26791.0,132.0,18.0,1.0
26823.0,132.0,1.0,1.0
26844.0,132.0,23.0,1.0
26869.0,132.0,14.0,1.0
26930.0,132.0,16.0,1.0
26940.0,132.0,7.0,1.0
26995.0,132.0,0.0,1.0
27022.0,314.0,72.0,1.0
27064.0,314.0,28.0,1.0
27072.0,314.0,10.0,1.0
27084.0,314.0,27.0,1.0
27128.0,314.0,28.0,1.0
27130.0,314.0,25.0,1.0
27194.0,314.0,58.0,1.0
27225.0,314.0,59.0,1.0
27240.0,314.0,30.0,1.0
27419.0,314.0,123.0,1.0
27471.0,314.0,141.0,1.0
27509.0,314.0,6.0,1.0
27516.0,314.0,48.0,1.0
27518.0,314.0,56.0,1.0
27540.0,314.0,49.0,1.0
27553.0,314.0,1.0,1.0
27559.0,314.0,49.0,1.0
27583.0,314.0,15.0,1.0
27588.0,314.0,17.0,1.0
27685.0,314.0,1.0,1.0
27686.0,314.0,18.0,1.0
27729.0,314.0,2.0,1.0
27731.0,314.0,21.0,1.0
27764.0,314.0,6.0,1.0
27777.0,314.0,19.0,1.0
27807.0,314.0,45.0,1.0
27819.0,314.0,44.0,1.0
27848.0,314.0,27.0,1.0
27861.0,314.0,6.0,1.0
27887.0,314.0,15.0,1.0
27905.0,153.0,23.0,1.0
27920.0,153.0,22.0,1.0
27921.0,153.0,5.0,1.0
27927.0,153.0,30.0,1.0
27952.0,153.0,23.0,1.0
28010.0,153.0,42.0,1.0
28018.0,153.0,53.0,1.0
28019.0,153.0,38.0,1.0
28049.0,153.0,47.0,1.0
28055.0,153.0,5.0,1.0
28067.0,153.0,95.0,1.0
28069.0,153.0,3.0,1.0
28084.0,153.0,6.0,1.0
28102.0,153.0,20.0,1.0
28125.0,153.0,26.0,1.0
28149.0,153.0,27.0,1.0
28156.0,153.0,10.0,1.0
28173.0,153.0,91.0,1.0
28184.0,153.0,29.0,1.0
28189.0,153.0,1.0,1.0
28212.0,153.0,14.0,1.0
28218.0,153.0,23.0,1.0
28261.0,153.0,66.0,1.0
28267.0,153.0,44.0,1.0
28271.0,153.0,111.0,1.0
28273.0,153.0,7.0,1.0
28275.0,153.0,26.0,1.0
28281.0,153.0,125.0,1.0
28289.0,153.0,39.0,1.0
28299.0,153.0,9.0,1.0
28309.0,153.0,10.0,1.0
28309.0,153.0,26.0,1.0
28314.0,153.0,15.0,1.0
28331.0,153.0,8.0,1.0
28347.0,153.0,0.0,1.0
28347.0,153.0,29.0,1.0
28353.0,153.0,31.0,1.0
28360.0,153.0,43.0,1.0
28372.0,153.0,10.0,1.0
28413.0,153.0,5.0,1.0
28446.0,153.0,2.0,1.0
28481.0,153.0,1.0,1.0
28488.0,153.0,27.0,1.0
28513.0,153.0,31.0,1.0
28525.0,153.0,6.0,1.0
28536.0,153.0,16.0,1.0
28554.0,153.0,116.0,1.0
28599.0,153.0,71.0,1.0
28600.0,153.0,8.0,1.0
28608.0,153.0,8.0,1.0
28626.0,153.0,17.0,1.0
28657.0,153.0,46.0,1.0
28657.0,153.0,69.0,1.0
28668.0,153.0,35.0,1.0
28693.0,153.0,79.0,1.0
28718.0,153.0,11.0,1.0
28735.0,153.0,12.0,1.0
28748.0,153.0,9.0,1.0
28775.0,153.0,11.0,1.0
28779.0,153.0,27.0,1.0
28809.0,147.0,70.0,1.0
28809.0,147.0,13.0,1.0
28818.0,147.0,0.0,1.0
28847.0,147.0,1.0,1.0
28847.0,147.0,46.0,1.0
28875.0,147.0,47.0,1.0
28881.0,147.0,4.0,1.0
28908.0,147.0,21.0,1.0
28917.0,147.0,9.0,1.0
28920.0,147.0,97.0,1.0
28924.0,147.0,14.0,1.0
28940.0,147.0,1.0,1.0
28969.0,147.0,16.0,1.0
28981.0,147.0,2.0,1.0
28986.0,147.0,4.0,1.0
28996.0,147.0,35.0,1.0
28996.0,147.0,33.0,1.0
28998.0,147.0,77.0,1.0
28999.0,147.0,23.0,1.0
29000.0,147.0,28.0,1.0
29023.0,147.0,12.0,1.0
29028.0,147.0,152.0,1.0
29037.0,147.0,13.0,1.0
29041.0,147.0,6.0,1.0
29047.0,147.0,65.0,1.0
29050.0,147.0,17.0,1.0
29057.0,147.0,7.0,1.0
29064.0,147.0,1.0,1.0
29074.0,147.0,27.0,1.0
29074.0,147.0,3.0,1.0
29075.0,147.0,86.0,1.0
29107.0,147.0,4.0,1.0
29131.0,147.0,26.0,1.0
29138.0,147.0,0.0,1.0
29163.0,147.0,107.0,1.0
29164.0,147.0,92.0,1.0
29168.0,147.0,59.0,1.0
29175.0,147.0,35.0,1.0
29194.0,147.0,2.0,1.0
29197.0,147.0,13.0,1.0
29220.0,147.0,69.0,1.0
29236.0,147.0,17.0,1.0
29258.0,147.0,33.0,1.0
29271.0,147.0,11.0,1.0
29272.0,147.0,13.0,1.0
29276.0,147.0,83.0,1.0
29277.0,147.0,54.0,1.0
29281.0,147.0,23.0,1.0
29284.0,147.0,7.0,1.0
29305.0,147.0,51.0,1.0
29321.0,147.0,30.0,1.0
29323.0,147.0,77.0,1.0
29328.0,147.0,4.0,1.0
29336.0,147.0,4.0,1.0
29346.0,147.0,33.0,1.0
29360.0,147.0,65.0,1.0
29360.0,147.0,10.0,1.0
29369.0,147.0,21.0,1.0
29375.0,147.0,44.0,1.0
29398.0,147.0,45.0,1.0
29402.0,147.0,64.0,1.0
29426.0,147.0,6.0,1.0
29431.0,147.0,1.0,1.0
29434.0,147.0,128.0,1.0
29439.0,147.0,27.0,1.0
29441.0,147.0,13.0,1.0
29468.0,147.0,6.0,1.0
29472.0,147.0,1.0,1.0
29477.0,147.0,0.0,1.0
29480.0,147.0,13.0,1.0
29483.0,147.0,59.0,1.0
29486.0,147.0,0.0,1.0
29490.0,147.0,44.0,1.0
29526.0,147.0,0.0,1.0
29527.0,147.0,103.0,1.0
29536.0,147.0,14.0,1.0
29537.0,147.0,26.0,1.0
29560.0,147.0,19.0,1.0
29565.0,147.0,27.0,1.0
29570.0,147.0,26.0,1.0
29586.0,147.0,20.0,1.0
29590.0,147.0,13.0,1.0
29610.0,147.0,2.0,1.0
29622.0,147.0,15.0,1.0
29634.0,147.0,3.0,1.0
29644.0,147.0,21.0,1.0
29646.0,147.0,28.0,1.0
29662.0,147.0,48.0,1.0
29663.0,147.0,20.0,1.0
29665.0,147.0,43.0,1.0
29665.0,147.0,5.0,1.0
29674.0,147.0,118.0,1.0
29684.0,147.0,31.0,1.0
29689.0,147.0,31.0,1.0
29694.0,147.0,52.0,1.0
29708.0,150.0,125.0,1.0
29710.0,150.0,11.0,1.0
29719.0,150.0,16.0,1.0
29728.0,150.0,85.0,1.0
29736.0,150.0,0.0,1.0
29740.0,150.0,2.0,1.0
29741.0,150.0,8.0,1.0
29756.0,150.0,68.0,1.0
29759.0,150.0,64.0,1.0
29761.0,150.0,98.0,1.0
29786.0,150.0,37.0,1.0
29792.0,150.0,55.0,1.0
29824.0,150.0,73.0,1.0
29827.0,150.0,12.0,1.0
29845.0,150.0,30.0,1.0
29857.0,150.0,7.0,1.0
29859.0,150.0,20.0,1.0
29878.0,150.0,5.0,1.0
29902.0,150.0,26.0,1.0
29908.0,150.0,6.0,1.0
29914.0,150.0,28.0,1.0
29921.0,150.0,15.0,1.0
29935.0,150.0,65.0,1.0
29960.0,150.0,14.0,1.0
29963.0,150.0,24.0,1.0
29979.0,150.0,11.0,1.0
29989.0,150.0,37.0,1.0
30014.0,150.0,1.0,1.0
30019.0,150.0,8.0,1.0
30024.0,150.0,25.0,1.0
30030.0,150.0,23.0,1.0
30073.0,150.0,10.0,1.0
30074.0,150.0,4.0,1.0
30074.0,150.0,22.0,1.0
30076.0,150.0,14.0,1.0
30080.0,150.0,32.0,1.0
30088.0,150.0,26.0,1.0
30093.0,150.0,8.0,1.0
30108.0,150.0,30.0,1.0
30135.0,150.0,5.0,1.0
30151.0,150.0,25.0,1.0
30152.0,150.0,30.0,1.0
30156.0,150.0,0.0,1.0
30191.0,150.0,2.0,1.0
30201.0,150.0,8.0,1.0
30231.0,150.0,24.0,1.0
30253.0,150.0,32.0,1.0
30294.0,150.0,6.0,1.0
30298.0,150.0,21.0,1.0
30330.0,150.0,13.0,1.0
30331.0,150.0,11.0,1.0
30334.0,150.0,4.0,1.0
30339.0,150.0,95.0,1.0
30387.0,150.0,25.0,1.0
30391.0,150.0,23.0,1.0
30396.0,150.0,88.0,1.0
30397.0,150.0,6.0,1.0
30400.0,150.0,1.0,1.0
30406.0,150.0,34.0,1.0
30419.0,150.0,4.0,1.0
30424.0,150.0,2.0,1.0
30436.0,150.0,19.0,1.0
30437.0,150.0,69.0,1.0
30441.0,150.0,40.0,1.0
30446.0,150.0,16.0,1.0
30450.0,150.0,68.0,1.0
30457.0,150.0,43.0,1.0
30466.0,150.0,57.0,1.0
30468.0,150.0,36.0,1.0
30477.0,150.0,93.0,1.0
30483.0,150.0,8.0,1.0
30502.0,150.0,4.0,1.0
30515.0,150.0,110.0,1.0
30531.0,150.0,13.0,1.0
30532.0,150.0,3.0,1.0
30538.0,150.0,21.0,1.0
30543.0,150.0,7.0,1.0
30558.0,150.0,4.0,1.0
30559.0,150.0,19.0,1.0
30581.0,150.0,21.0,1.0
30605.0,164.0,21.0,1.0
30606.0,164.0,27.0,1.0
30635.0,164.0,0.0,1.0
30643.0,164.0,2.0,1.0
30649.0,164.0,27.0,1.0
30677.0,164.0,64.0,1.0
30684.0,164.0,56.0,1.0
30693.0,164.0,1.0,1.0
30694.0,164.0,30.0,1.0
30712.0,164.0,16.0,1.0
30719.0,164.0,131.0,1.0
30721.0,164.0,51.0,1.0
30725.0,164.0,126.0,1.0
30740.0,164.0,74.0,1.0
30742.0,164.0,104.0,1.0
30767.0,164.0,21.0,1.0
30782.0,164.0,10.0,1.0
30787.0,164.0,42.0,1.0
30797.0,164.0,29.0,1.0
30823.0,164.0,49.0,1.0
30831.0,164.0,3.0,1.0
30831.0,164.0,21.0,1.0
30857.0,164.0,4.0,1.0
30860.0,164.0,48.0,1.0
30862.0,164.0,4.0,1.0
30863.0,164.0,72.0,1.0
30874.0,164.0,66.0,1.0
30882.0,164.0,47.0,1.0
30887.0,164.0,8.0,1.0
30901.0,164.0,6.0,1.0
30917.0,164.0,105.0,1.0
30918.0,164.0,51.0,1.0
30934.0,164.0,0.0,1.0
30935.0,164.0,44.0,1.0
30957.0,164.0,32.0,1.0
30957.0,164.0,24.0,1.0
30961.0,164.0,21.0,1.0
30968.0,164.0,142.0,1.0
30972.0,164.0,16.0,1.0
30973.0,164.0,41.0,1.0
30991.0,164.0,5.0,1.0
31026.0,164.0,33.0,1.0
31027.0,164.0,18.0,1.0
31033.0,164.0,4.0,1.0
